Date,Last Price,High Price,Low Price,Open Price
1/3/2025,591.95,592.6,586.43,587.53
1/2/2025,584.64,591.13,580.5,589.39
12/31/2024,586.08,590.6399,584.42,589.905
12/30/2024,588.22,591.74,584.41,587.89
12/27/2024,595.01,597.7761,590.7647,597.54
12/26/2024,601.34,602.48,598.0825,599.5
12/24/2024,601.3,601.34,595.47,596.06
12/23/2024,594.69,595.3,587.661,590.89
12/20/2024,591.15,595.75,580.91,581.77
12/19/2024,586.1,593,585.85,591.36
12/18/2024,586.28,606.405,585.89,603.98
12/17/2024,604.29,605.17,602.885,604.19
12/16/2024,606.79,607.7795,605.21,606
12/13/2024,604.21,607.13,602.81,606.4
12/12/2024,604.33,607.16,604.33,606.58
12/11/2024,607.46,608.435,605.5,605.78
12/10/2024,602.8,605.8,602.13,605.37
12/9/2024,604.68,607.86,604.08,607.69
12/6/2024,607.81,609.07,607.02,607.44
12/5/2024,606.66,608.48,606.305,607.66
12/4/2024,607.66,607.91,604.95,605.63
12/3/2024,603.91,604.16,602.341,603.39
12/2/2024,603.63,604.32,602.47,602.97
11/29/2024,602.55,603.35,599.3805,599.66
11/27/2024,598.83,600.85,597.28,600.46
11/26/2024,600.65,601.33,598.07,598.8
11/25/2024,597.53,600.86,595.2,599.52
11/22/2024,595.51,596.15,593.1525,593.66
11/21/2024,593.67,595.12,587.45,593.4
11/20/2024,590.5,590.79,584.63,590.38
11/19/2024,590.3,591.045,584.03,584.71
11/18/2024,588.15,589.49,585.34,586.22
11/15/2024,585.75,590.2,583.86,589.72
11/14/2024,593.35,597.81,592.65,597.32
11/13/2024,597.19,599.23,594.96,597.37
11/12/2024,596.9,599.29,594.37,598.68
11/11/2024,598.76,600.17,597,599.81
11/8/2024,598.19,599.64,596.165,596.17
11/7/2024,595.61,596.65,592.9999,593.08
11/6/2024,591.04,591.93,585.39,589.2
11/5/2024,576.7,576.74,570.52,570.74
11/4/2024,569.81,572.5,567.89,571.18
11/1/2024,571.04,575.55,570.62,571.32
10/31/2024,568.64,575.63,568.44,575.56
10/30/2024,580.01,583.32,579.29,581.29
10/29/2024,581.77,582.907,578.43,579.85
10/28/2024,580.83,582.71,580.52,582.58
10/25/2024,579.04,584.46,578.08,581.51
10/24/2024,579.24,580.06,576.57,579.98
10/23/2024,577.99,581.7086,574.415,581.26
10/22/2024,583.32,584.5,580.38,581.05
10/21/2024,583.63,584.85,580.6001,583.85
10/18/2024,584.59,585.39,582.58,584.07
10/17/2024,582.35,586.12,582.16,585.91
10/16/2024,582.3,582.83,578.96,579.78
10/15/2024,579.78,584.9,578.545,584.59
10/14/2024,584.32,585.27,580.73,581.22
10/11/2024,579.58,580.33,575.91,576.05
10/10/2024,576.13,577.58,574.49,575.77
10/9/2024,577.14,577.71,572.55,573.16
10/8/2024,573.17,573.78,569.5299,570.42
10/7/2024,567.8,571.9599,566.63,571.3
10/4/2024,572.98,573.36,568.1,572.35
10/3/2024,567.82,569.8025,565.49,567.36
10/2/2024,568.86,569.9,565.27,567.71
10/1/2024,568.62,574.0622,566,573.4
9/30/2024,573.76,574.38,568.08,570.42
9/27/2024,571.47,574.22,570.42,573.39
9/26/2024,572.3,574.71,569.9,574.38
9/25/2024,570.04,571.89,568.91,571.14
9/24/2024,571.3,571.36,567.6,570.48
9/23/2024,569.67,570.3325,568.1,569.34
9/20/2024,568.25,569.31,565.17,567.84
9/19/2024,570.98,572.88,568.08,571.01
9/18/2024,561.4,568.69,560.83,563.74
9/17/2024,563.07,566.58,560.795,565.1
9/16/2024,562.84,563.11,559.9,561.74
9/13/2024,562.01,563.03,559.45,559.71
9/12/2024,559.09,559.4,552.74,555.01
9/11/2024,554.42,555.36,539.96,548.7
9/10/2024,548.79,549.15,543.38,548.36
9/9/2024,546.41,547.71,542.68,544.65
9/6/2024,540.36,551.6,539.44,549.94
9/5/2024,549.61,553.7995,547.1,550.89
9/4/2024,550.95,554.43,549.46,550.2
9/3/2024,552.08,560.81,549.51,560.47
8/30/2024,563.68,564.2,557.14,560.77
8/29/2024,558.35,563.68,557.18,560.31
8/28/2024,558.3,561.65,555.04,561.21
8/27/2024,561.56,562.06,558.32,559.49
8/26/2024,560.79,563.91,559.05,563.18
8/23/2024,562.13,563.09,557.29,559.53
8/22/2024,556.22,563.18,554.98,562.56
8/21/2024,560.62,562.11,554.73,559.77
8/20/2024,558.7,560.84,557.325,559.15
8/19/2024,559.61,559.61,553.86,554.73
8/16/2024,554.31,555.02,551.26,551.42
8/15/2024,553.07,553.36,548.88,549.5
8/14/2024,543.75,544.96,540.12,542.85
8/13/2024,542.04,542.28,536.28,536.53
8/12/2024,533.27,535.73,530.95,534.21
8/9/2024,532.99,534.51,528.56,529.81
8/8/2024,530.65,531.29,521.84,523.91
8/7/2024,518.66,531.59,518.0519,528.47
8/6/2024,522.15,529.75,517.87,519.22
8/5/2024,517.38,523.58,510.27,511.64
8/2/2024,532.9,536.99,528.6,535.75
8/1/2024,543.01,554.8688,539.43,552.57
7/31/2024,550.81,553.5,547.5799,548.98
7/30/2024,542,547.34,538.515,546.26
7/29/2024,544.76,547.05,542.72,546.02
7/26/2024,544.44,547.19,541.49,542.28
7/25/2024,538.41,547.455,537.45,541.35
7/24/2024,541.23,549.17,540.29,548.86
7/23/2024,553.78,556.735,553.275,554.54
7/22/2024,554.65,555.27,551.02,553
7/19/2024,548.99,554.08,547.91,552.42
7/18/2024,552.66,559.52,550.43,558.51
7/17/2024,556.94,560.51,556.61,558.8
7/16/2024,564.86,565.16,562.1,562.865
7/15/2024,561.53,564.8371,559.63,562.03
7/12/2024,559.99,563.67,557.15,557.63
7/11/2024,556.48,562.33,555.83,561.44
7/10/2024,561.32,561.67,556.77,557.07
7/9/2024,555.82,557.18,555.52,556.26
7/8/2024,555.28,556.2501,554.19,555.44
7/5/2024,554.64,555.05,551.12,551.77
7/3/2024,551.46,551.83,548.65,548.69
7/2/2024,549.01,549.01,543.65,543.7
7/1/2024,545.34,545.88,542.52,545.63
6/28/2024,544.22,550.28,542.95,547.16
6/27/2024,546.37,546.96,544.61,545.37
